model,split,precision,recall,f1,iou
hough,val,0.029862618974301824,0.5785411512591159,0.05678493768136408,0.029234885455571836
hough,test,0.013353889374084955,0.1874194519502702,0.02491693106749105,0.01278325979230839
color,val,0.023443579376199303,0.2226962338462796,0.04239722400001638,0.021712968491856204
color,test,0.008386199462918107,0.05382900479084994,0.014403007356768999,0.007434700012425093
pixel_classifier,val,0.11700441061069929,0.7321826925043671,0.20169339468752626,0.11226207569091348
pixel_classifier,test,0.06008218091579744,0.28223296550524296,0.0989917655759656,0.055168151080108106
